image_number,Penetration_depth (nm),Load (mN),E (GPa)
700,3858,549.903,61.27
701,3839,549.529,62.09
702,3840,549.685,64.05
703,4744,549.741,55.36
704,3808,549.825,74.17
705,3638,549.932,68.03
706,3775,549.851,65.27
707,3860,549.658,65.17
708,3601,549.512,68.01
709,3802,549.583,55.59
710,3841,549.446,57.15
711,3712,549.731,65.51
712,3784,549.625,63.31
713,3620,549.589,72.57
714,4159,599.577,59.43
715,4030,599.735,62.85
716,4060,599.416,64.76
717,3927,599.822,66.62
718,3936,599.488,70.25
719,3878,599.439,71.1
720,3976,599.964,73.79
721,3927,599.455,71.79
722,3802,599.597,69.26
723,4063,599.789,67.57
724,3910,599.827,65.54
725,4114,599.971,57.1
726,4006,599.98,61.22
727,3924,599.875,63
728,4143,599.461,64.88
729,3883,599.792,69.11
730,3971,599.859,69.14
731,3801,599.489,68.65
732,3939,599.42,66.77
733,3956,599.793,63.98
734,4030,599.525,56.45
735,4020,599.634,59.09
736,3906,599.577,65.44
737,3928,599.734,64.97
738,3978,599.821,68.68
739,3910,599.348,73.67
740,3870,599.71,65.79
741,3952,599.573,67.03
742,3855,599.494,67.13
743,3932,599.858,63.2
744,4028,599.916,60.27
745,4007,599.742,60.45
746,4104,599.758,55.36
747,4037,599.911,58.33
748,4037,599.736,58.61
749,3868,599.418,70.94
750,3986,599.659,67.26
751,3195,399.693,76.51
752,3189,399.681,75.68
753,3138,399.449,77.13
754,3205,399.537,77.12
755,3210,399.768,76.14
756,3058,399.993,78.17
757,3249,399.735,73.52
758,3054,399.656,82.25
759,3094,399.977,78.96
760,3035,399.703,81.34
761,3148,399.813,76.83
762,3096,399.86,80.84
763,3255,399.449,74.03
764,3152,399.979,79.12
765,3225,399.486,74.35
766,3268,399.637,74.98
767,3194,399.86,77.81
768,3038,399.577,83
769,3203,399.723,76.04
770,2975,399.856,86.07
771,3184,399.594,77.82
772,3016,399.798,76.49
773,3198,399.986,75.39
774,3132,399.705,73.05
775,3100,399.72,75.89
776,3151,399.865,78.72
777,3091,399.94,80.98
778,3228,399.85,74.75
779,3123,399.58,76.96
780,3007,399.613,82.93
781,3250,399.771,72.76
782,3112,399.889,80.05
783,3106,399.885,77.49
784,3056,399.397,75.56
785,3058,399.507,77.5
786,3027,399.689,80.84
787,3079,399.762,79.22
788,3118,399.675,78.14
789,3111,399.572,79.04
790,3079,399.712,80.61
791,3239,449.437,74.83
792,3259,449.604,77.26
793,3285,449.951,75.99
794,3382,449.529,73.79
795,3343,449.67,76.29
796,3277,449.566,79.13
797,3487,449.579,75.2
798,3302,449.637,79.26
799,3761,449.56,71.19
800,3253,449.814,79.4
801,3355,449.62,77.5
802,3302,449.76,77.12
803,3419,449.706,71.21
804,3187,449.702,76.66
805,3285,449.54,75.17
806,3317,449.611,78.03
807,3356,449.829,79.86
808,3337,449.555,78.85
809,3307,449.851,77.5
810,3451,449.903,78.08
811,3260,449.934,79.65
812,3283,449.858,79.44
813,3277,449.721,73.89
814,3126,449.772,80.01
815,3302,449.627,77.42
816,3235,449.519,82.39
817,3417,449.667,75.85
818,3574,449.986,71.55
819,3292,449.646,76.1
820,3265,449.912,82.47
821,3297,449.642,73.73
822,3330,449.535,77.01
823,3426,449.893,71.68
824,3394,449.684,71.95
825,3455,449.97,72.55
826,3384,449.482,74.26
827,3192,449.857,80.18
828,3766,499.936,68.62
829,3683,499.888,70.89
830,3475,499.952,79.35
831,3530,499.817,77.39
832,3393,499.74,82.45
833,3480,499.508,76.75
834,3440,499.949,78.42
835,3616,499.983,74.6
836,3466,499.509,74.34
837,3447,499.593,76.33
838,3486,499.787,76.73
839,3481,499.993,81.82
840,3499,499.819,70.08
841,3420,499.616,78.52
842,3520,499.681,80.1
843,3601,499.542,74.37
844,3524,499.808,79.52
845,3479,499.614,82.73
846,3458,499.597,74.75
847,3478,499.984,81.89
848,3549,499.492,78.29
849,3470,499.344,79.11
850,3359,499.28,78
851,3426,499.701,77.15
852,3340,499.615,80.59
853,3475,499.67,80
854,3702,499.951,69.74
855,3455,499.876,78.7
856,3449,499.621,79.94
857,3477,499.861,78.65
858,3635,499.46,72.57
859,3479,499.469,84.33
860,3587,499.681,75.83
861,3690,499.675,73.69
862,3793,499.57,66.82
863,3524,499.953,75.29
864,3426,499.958,80.35
865,3434,499.908,80.48
866,3537,499.954,74.16
867,3426,499.534,78.81
868,3594,499.958,73.5
869,3602,549.988,75.26
870,3720,549.755,78.88
871,3600,549.409,79.45
872,3748,549.501,76.17
873,3672,549.414,78.43
874,3658,549.581,77.94
875,3635,549.782,79.18
876,3586,549.793,71.69
877,3762,549.984,75.91
878,3629,549.672,78.68
879,3760,549.401,79.39
880,4025,549.657,68.05
881,3788,549.958,75.7
882,3691,549.537,80.18
883,3684,549.654,77.01
884,3682,549.857,79.79
885,3879,549.732,72.1
886,3610,549.876,78.67
887,3659,549.414,75.34
888,3676,549.497,76.31
889,3696,549.645,76.82
890,3733,549.635,75.41
891,3494,549.709,80.28
892,3755,549.485,75.3
893,3754,549.795,71.38
894,3608,549.856,79.83
895,3802,549.556,78.1
896,3901,549.785,74.78
897,3649,549.795,75.19
898,3887,549.634,75.31
899,3511,549.452,81.44
900,3785,549.857,74.96
901,3712,549.751,74.95
902,3708,549.942,78.01
903,3453,549.647,83
904,3751,549.432,76.61
905,3627,549.663,78.22
906,3774,549.759,73.05
907,3743,599.89,79.99
908,3937,599.882,74.89
909,3783,599.88,79.77
910,3831,599.341,81.98
911,3908,599.92,76.9
912,3849,599.951,76.91
913,3806,599.766,79.35
914,3833,599.49,81.45
915,4003,599.538,75.46
916,3655,599.502,80.26
917,3865,599.569,77.62
918,3891,599.549,74.96
919,3882,599.799,75.09
920,3806,599.873,78.41
921,3724,599.581,79.67
922,3947,599.727,77.09
923,3925,599.708,75.94
924,3819,599.973,77.85
925,4000,599.561,73.69
926,3857,599.685,76.48
927,3810,599.492,74.09
928,3855,599.656,73.25
929,3912,599.759,72.94
930,3830,599.412,78.73
931,3846,599.622,78.08
932,3862,599.687,77.46
933,3869,599.587,75.61
934,3713,599.805,79.86
935,3880,599.882,76.99
936,4000,599.498,79.89
937,3812,599.67,76.2
938,3740,599.637,82.2
939,4346,599.906,61.6
940,3804,599.891,74.69
941,3805,599.546,77.72
942,3969,599.861,73.12
943,3845,599.728,76.53
944,3829,599.707,78.59
945,4132,649.697,69.38
946,4094,649.371,77.3
947,4009,649.717,77.78
948,4172,649.83,76.94
949,3970,649.852,75.94
950,3843,649.738,79.58
951,3966,649.563,80.89
952,3995,649.555,76.58
953,3881,649.64,79.79
954,3950,649.841,78.36
955,4260,649.965,82.43
956,4053,649.943,77.54
957,4005,649.654,73.23
958,3956,649.929,77.07
959,3451,649.873,78.59
960,3895,649.871,77.09
961,4079,649.974,75.54
962,4142,649.75,78.39
963,4049,649.563,75.19
964,4048,649.768,79.22
965,4033,649.907,75.98
966,3891,649.941,80.13
967,4047,649.584,77.01
968,3960,649.432,75.2
969,4092,649.546,73.46
970,3977,649.521,76.78
971,3937,649.579,78.69
972,4052,649.568,73.23
973,3986,649.405,77.46
974,3942,649.87,78.7
975,4060,649.905,76.49
976,3962,649.988,78.63
977,3990,649.636,76.89
978,4063,649.845,78.99
979,3938,649.455,77.21
980,3942,649.309,77.27
981,4110,649.772,68.34
982,4032,649.724,70.82
